evento,estacion,Distancia,s_p,s_p_man,P_Cote,S_Cote,SP_Cote
2014_03_27 07_32_11_M2_6,GO01,198.981,24.499100000000908,23.975,735685.3143830645,735685.3146733871,25.083800000000338
2014_03_27 07_32_11_M2_6,GO01,215.904,27.765599999998813,23.975,735685.3144099462,735685.314751344,29.49669999999969
2014_03_27 07_32_11_M2_6,PB09,198.981,24.499100000000908,23.975,735685.3143830645,735685.3146733871,25.083800000000338
2014_03_27 07_32_11_M2_6,PB09,215.904,27.765599999998813,23.975,735685.3144099462,735685.314751344,29.49669999999969
2014_05_03 19_24_53_M2_4,GO01,169.144,21.55909999999858,22.6,735722.8092567205,735722.8095013441,21.135500000003958
2014_01_08 11_07_02_M2_3,GO01,220.149,24.907399999996414,14.975,735607.4636334005,735607.4639425402,26.70969999999943
2014_01_08 11_07_02_M2_3,GO01,171.968,19.844199999999546,14.975,735607.4635337702,735607.4637847783,21.68710000000283
2014_01_08 11_07_02_M2_3,GO01,124.586,14.04609999999957,14.975,735607.4634637097,735607.4636330645,14.632299999997485
2014_01_08 11_07_02_M2_3,PB06,220.149,24.907399999996414,14.975,735607.4636334005,735607.4639425402,26.70969999999943
2014_01_08 11_07_02_M2_3,PB06,171.968,19.844199999999546,14.975,735607.4635337702,735607.4637847783,21.68710000000283
2014_01_08 11_07_02_M2_3,PB06,124.586,14.04609999999957,14.975,735607.4634637097,735607.4636330645,14.632299999997485
2014_01_08 11_07_02_M2_3,PB09,220.149,24.907399999996414,14.975,735607.4636334005,735607.4639425402,26.70969999999943
2014_01_08 11_07_02_M2_3,PB09,171.968,19.844199999999546,14.975,735607.4635337702,735607.4637847783,21.68710000000283
2014_01_08 11_07_02_M2_3,PB09,124.586,14.04609999999957,14.975,735607.4634637097,735607.4636330645,14.632299999997485
2014_06_04 17_27_40_M2_4,PB06,257.656,28.582200000004377,24.675,735754.7280191532,735754.7283417338,27.870999999999185
2014_03_26 11_29_41_M2_4,GO01,186.775,21.232499999998254,23.575,735684.4793024193,735684.4795551075,21.83230000000185
2014_03_26 11_29_41_M2_4,GO01,294.381,36.013599999998405,23.575,735684.4794783266,735684.4799198589,38.14839999999822
2014_03_26 11_29_41_M2_4,PB09,186.775,21.232499999998254,23.575,735684.4793024193,735684.4795551075,21.83230000000185
2014_03_26 11_29_41_M2_4,PB09,294.381,36.013599999998405,23.575,735684.4794783266,735684.4799198589,38.14839999999822
2014_05_11 00_35_54_M2_3,GO01,134.617,16.33269999999993,17.125,735730.0251922044,735730.0253696237,15.328999999999724
2014_05_11 00_35_54_M2_3,GO01,164.272,18.37429999999995,17.125,735730.0252303428,735730.0254480847,18.8128999999999
2014_05_11 00_35_54_M2_3,PB09,134.617,16.33269999999993,17.125,735730.0251922044,735730.0253696237,15.328999999999724
2014_05_11 00_35_54_M2_3,PB09,164.272,18.37429999999995,17.125,735730.0252303428,735730.0254480847,18.8128999999999
